0,1,2,3,4,5,6,7,8,9,10
JPX デリバティブ建玉残高状況（別紙1）,,,,,,,,,,
2026-03-10 00:00:00,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
＜日経225オプション（プット）＞,,,,,,＜日経225オプション（コール）＞,,,,
限月取引,取引高,"当日
建玉残高",前日比,"前日
建玉残高",,限月取引,取引高,"当日
建玉残高",前日比,"前日
建玉残高"
NIKKEI 225 P2603-10000,0,1707,0,1707,,NIKKEI 225 C2603-20000,0,10,0,10
NIKKEI 225 P2603-12000,0,845,0,845,,NIKKEI 225 C2603-30000,0,1170,0,1170
NIKKEI 225 P2603-14000,0,633,0,633,,NIKKEI 225 C2603-32000,0,300,0,300
NIKKEI 225 P2603-16000,0,666,0,666,,NIKKEI 225 C2603-33000,0,400,0,400
NIKKEI 225 P2603-18000,7,449,-2,451,,NIKKEI 225 C2603-33500,0,2,0,2
NIKKEI 225 P2603-20000,0,1445,0,1445,,NIKKEI 225 C2603-34000,0,203,0,203
NIKKEI 225 P2603-21000,0,263,0,263,,NIKKEI 225 C2603-35000,0,929,0,929
NIKKEI 225 P2603-22000,1,1011,0,1011,,NIKKEI 225 C2603-35500,0,7,0,7
NIKKEI 225 P2603-23000,0,679,0,679,,NIKKEI 225 C2603-36000,0,1140,0,1140
NIKKEI 225 P2603-24000,0,537,0,537,,NIKKEI 225 C2603-36250,0,112,0,112
NIKKEI 225 P2603-25000,1,3251,-1,3252,,NIKKEI 225 C2603-36500,0,6,0,6
NIKKEI 225 P2603-26000,4,766,-4,770,,NIKKEI 225 C2603-37000,0,219,0,219
NIKKEI 225 P2603-27000,21,982,-14,996,,NIKKEI 225 C2603-37500,0,1080,0,1080
NIKKEI 225 P2603-27250,0,26,0,26,,NIKKEI 225 C2603-38000,0,200,0,200
NIKKEI 225 P2603-27500,7,221,-6,227,,NIKKEI 225 C2603-38500,0,600,0,600
NIKKEI 225 P2603-27750,2,35,0,35,,NIKKEI 225 C2603-39000,0,1000,0,1000
NIKKEI 225 P2603-28000,47,2376,1,2375,,NIKKEI 225 C2603-39500,0,1400,0,1400
NIKKEI 225 P2603-28250,4,34,3,31,,NIKKEI 225 C2603-40000,2,1705,-2,1707
NIKKEI 225 P2603-28500,16,725,3,722,,NIKKEI 225 C2603-40500,0,325,0,325
NIKKEI 225 P2603-28750,1,48,1,47,,NIKKEI 225 C2603-40750,0,311,0,311
NIKKEI 225 P2603-29000,28,331,4,327,,NIKKEI 225 C2603-41000,0,150,0,150
NIKKEI 225 P2603-29250,12,34,10,24,,NIKKEI 225 C2603-41500,0,552,0,552
NIKKEI 225 P2603-29500,24,115,13,102,,NIKKEI 225 C2603-42000,0,1130,0,1130
NIKKEI 225 P2603-29750,15,50,10,40,,NIKKEI 225 C2603-42250,0,61,0,61
NIKKEI 225 P2603-30000,308,6345,10,6335,,NIKKEI 225 C2603-42500,0,50,0,50
NIKKEI 225 P2603-30250,12,5,-9,14,,NIKKEI 225 C2603-42750,0,100,0,100
NIKKEI 225 P2603-30500,5,49,-5,54,,NIKKEI 225 C2603-43000,0,965,0,965
NIKKEI 225 P2603-30750,2,43,-2,45,,NIKKEI 225 C2603-43500,0,100,0,100
NIKKEI 225 P2603-31000,32,389,0,389,,NIKKEI 225 C2603-44000,2,170,0,170
NIKKEI 225 P2603-31250,3,42,-1,43,,NIKKEI 225 C2603-44750,0,35,0,35
NIKKEI 225 P2603-31500,27,475,9,466,,NIKKEI 225 C2603-45000,0,2475,0,2475
NIKKEI 225 P2603-31750,8,71,-8,79,,NIKKEI 225 C2603-45500,0,50,0,50
NIKKEI 225 P2603-32000,59,3385,0,3385,,NIKKEI 225 C2603-46000,0,900,0,900
NIKKEI 225 P2603-32250,5,35,3,32,,NIKKEI 225 C2603-46500,0,101,0,101
NIKKEI 225 P2603-32500,20,675,2,673,,NIKKEI 225 C2603-47000,0,2830,0,2830
NIKKEI 225 P2603-32750,10,101,-2,103,,NIKKEI 225 C2603-47500,0,500,0,500
NIKKEI 225 P2603-33000,139,5602,1,5601,,NIKKEI 225 C2603-48000,0,2556,0,2556
NIKKEI 225 P2603-33250,6,869,4,865,,NIKKEI 225 C2603-49000,0,1820,0,1820
NIKKEI 225 P2603-33500,19,401,2,399,,NIKKEI 225 C2603-49500,0,450,0,450
NIKKEI 225 P2603-33750,13,102,1,101,,NIKKEI 225 C2603-49750,0,300,0,300
NIKKEI 225 P2603-34000,145,6458,-41,6499,,NIKKEI 225 C2603-50000,6,3317,0,3317
NIKKEI 225 P2603-34250,24,2131,0,2131,,NIKKEI 225 C2603-50500,0,501,0,501
NIKKEI 225 P2603-34500,30,206,13,193,,NIKKEI 225 C2603-50750,0,230,0,230
NIKKEI 225 P2603-34750,8,21,0,21,,NIKKEI 225 C2603-51000,3,1097,0,1097
NIKKEI 225 P2603-35000,307,4692,-24,4716,,NIKKEI 225 C2603-51500,6,626,-4,630
NIKKEI 225 P2603-35250,8,16,2,14,,NIKKEI 225 C2603-51750,6,324,-5,329
NIKKEI 225 P2603-35500,48,539,12,527,,NIKKEI 225 C2603-51875,0,1,0,1
NIKKEI 225 P2603-35750,24,30,13,17,,NIKKEI 225 C2603-52000,5,4695,-32,4727
NIKKEI 225 P2603-36000,166,3018,72,2946,,NIKKEI 225 C2603-52250,2,99,0,99
NIKKEI 225 P2603-36250,22,69,14,55,,NIKKEI 225 C2603-52375,0,6,0,6
NIKKEI 225 P2603-36500,68,390,14,376,,NIKKEI 225 C2603-52500,19,1353,-70,1423
NIKKEI 225 P2603-36750,20,32,15,17,,NIKKEI 225 C2603-52625,0,3,0,3
NIKKEI 225 P2603-37000,209,3197,-18,3215,,NIKKEI 225 C2603-52750,2,204,-1,205
NIKKEI 225 P2603-37250,37,247,3,244,,NIKKEI 225 C2603-52875,2,9,-1,10
NIKKEI 225 P2603-37500,119,1080,3,1077,,NIKKEI 225 C2603-53000,228,2061,-99,2160
NIKKEI 225 P2603-37750,7,310,2,308,,NIKKEI 225 C2603-53250,5,64,-1,65
NIKKEI 225 P2603-38000,634,3045,6,3039,,NIKKEI 225 C2603-53375,0,700,0,700
NIKKEI 225 P2603-38250,18,39,7,32,,NIKKEI 225 C2603-53500,112,405,-8,413
NIKKEI 225 P2603-38500,86,2200,-11,2211,,NIKKEI 225 C2603-53625,0,10,0,10
NIKKEI 225 P2603-38750,54,105,-2,107,,NIKKEI 225 C2603-53750,15,105,-4,109
NIKKEI 225 P2603-39000,172,3686,25,3661,,NIKKEI 225 C2603-53875,3,200,0,200
NIKKEI 225 P2603-39250,4,26,2,24,,NIKKEI 225 C2603-54000,546,5170,20,5150
NIKKEI 225 P2603-39500,51,1037,-2,1039,,NIKKEI 225 C2603-54125,13,11,10,1
NIKKEI 225 P2603-39750,32,114,2,112,,NIKKEI 225 C2603-54250,117,93,73,20
NIKKEI 225 P2603-40000,2447,5032,21,5011,,NIKKEI 225 C2603-54375,2,6,0,6
NIKKEI 225 P2603-40250,53,302,23,279,,NIKKEI 225 C2603-54500,493,1499,14,1485
NIKKEI 225 P2603-40500,47,566,10,556,,NIKKEI 225 C2603-54625,11,2,2,0
NIKKEI 225 P2603-40750,31,437,-3,440,,NIKKEI 225 C2603-54750,33,13,3,10
NIKKEI 225 P2603-41000,252,2552,-35,2587,,NIKKEI 225 C2603-54875,12,6,0,6
NIKKEI 225 P2603-41250,14,67,0,67,,NIKKEI 225 C2603-55000,2301,5194,-62,5256
